;question	answer	card_export_column__field_a	card_export_column__field_b	card_export_column__field_c	tags	c_Added	c_LatestReview	c_Due	c_Interval_in_Days	c_Ease	c_Reviews	c_Lapses	c_CardType	c_NoteType	c_Deck	c_NoteID	c_CardID	allrevs
;問題	答案
胸中無墨	即「胸無點墨」。見「胸無點墨」條。01.宋．吳子良《林下偶談．卷一．飲墨》：「俚俗謂不能文者為胸中無墨，蓋亦有據。《通典》載：『北齊策秀才，書有濫劣者，飲墨水一升。』」
露肘捉襟	猶「捉襟見肘」。見「捉襟見肘」條。01.清．孔尚任《桃花扇》第三七齣：「司馬威權，夜發兵符，調鎮移防。誰知他折東補西，露肘捉襟，明棄淮揚金湯。」
雪月風花	即「風花雪月」。見「風花雪月」條。01.宋．黃庭堅〈醉落魄．陶陶兀兀〉詞：「爭名爭利休休莫。雪月風花，不醉怎生得？」02.《石點頭．卷五．莽書生強圖鴛侶》：「琴棋詩畫，無有不精；雪月風花，件件都愛。」
一介不苟	猶「一絲不苟」。見「一絲不苟」條。01.《兒女英雄傳》第一二回：「我平生於銀錢一道，一介不苟。便是朋友有通財之誼，也須誼可通財的，纔可作將伯之呼。」02.清．陳確〈與陸冰脩書〉：「俗儒不知，以為吾學古人，當學其大者遠者，若夫一介不苟，特硜硜小節耳，不足學也。」
三人市虎	即「三人成虎」。見「三人成虎」條。01.明．李詡《戒庵老人漫筆．卷四．海山覆敗》：「怨家又起而裝誣之，以致上官亦駭於耳目，三人市虎，不能免也。」
天空海闊	即「海闊天空」。見「海闊天空」條。01.宋．張耒〈東海有大松土人相傳三代時物其狀偉異詩不能盡因讀徐仲車五花柳枝之作作此詩以激之〉詩：「天空海闊風力壯，敲戛簸蕩聲無窮。」02.《醒世姻緣傳》第一六回：「自己負了才名，又生了一副天空海闊的心性，洒脫不羈的胸襟。」
馬龍車水	即「車水馬龍」。見「車水馬龍」條。01.宋．陳允平〈春遊曲〉：「都人歡呼去踏青，馬如遊龍車如水。」
弓影杯蛇	猶「杯弓蛇影」。見「杯弓蛇影」條。01.清．沈復《浮生六記．卷一．閨房記樂》：「一燈如豆，羅帳低垂，弓影杯蛇，驚神未定。」
川流不舍	猶「川流不息」。見「川流不息」條。01.南朝梁．元帝《金樓子．卷二．后妃篇》：「過隙難留，川流不舍，往而不還者，年也。」02.南朝梁．皇侃《論語集解義疏．卷五．子罕》：「孫綽云：『川流不舍，年逝不停，時已晏矣！而道猶不興，所以憂歎也。』」
緩步當車	猶「安步當車」。見「安步當車」條。01.《北齊書．卷四五．文苑列傳．祖鴻勛》：「首戴萌蒲，身衣縕襏，出藝粱稻，歸奉慈親，緩步當車，無事為貴，斯已適矣，豈必撫塵哉。」02.明．方孝儒〈友筠軒賦〉：「世上有玉堂之貴，此豈無甕牖之安？乃緩步以當車，復謝崇而慕閑。」
傳聞不如親見	猶「百聞不如一見」。見「百聞不如一見」條。01.漢．應劭《風俗通義．卷二．正失》：「《春秋》以為『傳聞不如親見』，親見之人，斯為審矣。」02.《後漢書．卷二四．馬援列傳》：「臣愚以為傳聞不如親見，視景不如察形。」
價重連城	價值重比連城。見「價值連城」條。01.《藝文類聚．卷四九．職官部五．太子中庶子》引南朝梁．簡文帝〈庶子王規墓志銘〉：「玉挺藍田，珠潤隋水，價重連城，聲同垂棘。」02.宋．辛棄疾〈小重山．旋製離歌唱未成〉詞：「商量詩價重連城，相如老，漢殿舊知名。」
汗出沾背	猶「汗流浹背」。見「汗流浹背」條。01.《史記．卷五六．陳丞相世家》：「孝文皇帝既益明習國家事，朝而問右丞相勃曰：『天下一歲決獄幾何？』勃謝曰：『不知。』問：『天下一歲錢穀出入幾何？』勃又謝不知，汗出沾背，愧不能對。」（源）
決雌雄	即「一決雌雄」。見「一決雌雄」條。
頭藏尾露	把頭藏起來，卻露出尾巴。指露出身影。猶「藏頭露尾」。見「藏頭露尾」條。01.元．李文蔚《燕青博魚．楔子》：「眾小校聽咱分付，今夜個該誰巡捕，黑地裡悄語低言，不要您頭藏尾露。遇官軍須當殺退，若經商便將拏住。但違了某家將令，斬首級決無輕恕。」
狐死兔悲	即「兔死狐悲」。見「兔死狐悲」條。01.《敦煌變文集新書．卷七．鷰子賦》：「切聞狐死兔悲，惡（物）傷其類；四海盡為兄弟，何況更同&a03387-001.jpg;（臭）味。」（源）
暮楚朝秦	（一）即「朝秦暮楚」。見「朝秦暮楚」（一）。 （二）即「朝秦暮楚」。見「朝秦暮楚」（二）。
事與心違	心，心願。「事與心違」即「事與願違」。見「事與願違」條。01.唐．崔祐甫〈祭董大使文〉：「弔隨慶集，事與心違。良知與主，昨是今非。」02.清．陳維崧〈金菊對芙蓉．語響潭煙〉詞：「相逢暗惹平生恨，西州路，事與心違。」
置身無地	猶「無地自容」。見「無地自容」條。01.《紅樓夢》第三○回：「襲人從來不曾受過一句大話的，今兒忽見寶玉生氣，踢他一下，又當著許多人，又是羞，又是氣，又是疼，真一時置身無地。」
日異月新	猶「日新月異」。見「日新月異」條。01.明．顧起元《客座贅語．卷一．巾履》：「近年以來，殊形詭製，日異月新。」02.清．葉燮《原詩．卷一．內篇上》：「其後乃有絲竹匏革之制，流至於今，極於九宮南譜，聲律之妙，日異月新。」
搜章摘句	猶「尋章摘句」。見「尋章摘句」條。01.唐．沈亞之〈對省試策二道〉：「是知超乘穿札，非謂武也；搜章摘句，非謂文也。」
報怨以德	即「以德報怨」。見「以德報怨」條。01.《老子》第六三章：「大小多少，報怨以德。」
提綱振領	即「提綱挈領」。見「提綱挈領」條。01.宋．朱熹〈答張欽夫書〉：「熹向來之說，固未及此，而來諭曲折，雖多所發明，然於提綱振領處，似亦有未盡。」
四分五剖	猶「四分五裂」。見「四分五裂」條。01.《漢書．卷八七下．揚雄傳》：「往者周罔解結，群鹿爭逸，離為十二，合為六七，四分五剖，並為戰國。」02.清．曾國藩〈李忠武公神道碑銘〉：「四分五剖，精銳星散。」
公平無私	猶「大公無私」。見「大公無私」條。01.《戰國策．秦策一》：「商君治秦，法令至行，公平無私，罰不諱強大，賞不私親近。」02.《南史．卷三六．江夷列傳》：「在選職頗有刻覈之譏，而公平無私，不受請謁，論者以此稱焉。」
小異大同	猶「大同小異」。見「大同小異」條。01.南朝梁．劉勰《文心雕龍．檄移》：「符契，意用小異，而體義大同，與檄參伍，故不重論也。」02.唐．劉知幾《史通．卷三．書志》：「如斯變革，不可勝計，或名非而物是，或小異而大同。」
一顧傾城	猶「傾國傾城」。見「傾國傾城」條。01.漢．張衡〈西京賦〉：「要紹修態，麗服颺菁。 眳藐流眄，一顧傾城。」02.《兒女英雄傳》第二七回：「自己本生得一副月貌花容，一團靈心慧性。那怕丈夫千金買笑，自料斷不及我一顧傾城。」
口如懸河	猶「口若懸河」。見「口若懸河」條。01.《警世通言．卷一七．鈍秀才一朝交泰》：「德稱口如懸河，賓主頗也得合。」
三寸之舌	猶「三寸不爛之舌」。見「三寸不爛之舌」條。01.《史記．卷七六．平原君虞卿列傳．平原君》：「毛先生一至楚，而使趙重於九鼎大呂。毛先生以三寸之舌，彊於百萬之師。」（源）02.《隋唐演義》第四一回：「全憑弟三寸之舌，用一夕話，務要說他來同事，方見平昔間交情。」
手腳無措	即「手足無措」。見「手足無措」條。01.《金瓶梅》第四八回：「府尹胡師文，見了上司批下來，慌得手腳無措。」
目擩耳染	義同「耳濡目染」。見「耳濡目染」條。01.唐．韓愈〈清河郡公房公墓碣銘〉：「胚胎前光，生長食息，不離典訓之內。目擩耳染，不學以能。」（源）
東家效顰	即「東施效顰」。見「東施效顰」條。01.《花月痕》第二二回：「一會，出來秋華堂坐席，李夫人首座，問起鳳來儀酒令，秋痕一一告訴，三位太太都十分贊賞。李夫人道：『我們何不做個東家效顰？』」
樂極悲來	猶「樂極生悲」。見「樂極生悲」條。01.唐．陳鴻〈長恨歌傳〉：「自南宮遷於西內，時移事去，樂極悲來。」02.《二刻拍案驚奇》卷六：「誰料樂極悲來！快活不上一年，撞著元政失綱，四方盜起。」
樂極悲生	即「樂極生悲」。見「樂極生悲」條。01.元．宮大用《范張雞黍》第四折：「人都道我暮景桑榆，合有些崢嶸氣象。可正是樂極悲生，今日個泰來否往。」02.《官場現形記》第四○回：「那知樂極悲生，剛才開徵之後，未及十天，家鄉來了電報；道是老太爺沒了。」
多多益辦	猶「多多益善」。見「多多益善」條。01.《漢書．卷三四．韓彭英盧吳傳．韓信》：「上問曰：『如我，能將幾何？』信曰：『陛下不過能將十萬。』上曰：『如公何如？』曰：『如臣，多多益辦耳。』」
沒法沒天	猶「無法無天」。見「無法無天」條。01.《紅樓夢》第一一一回：「你是那裡的這麼個橫強盜，這樣沒法沒天的！我偏要打這裡走！」
良莠不分	猶「良莠不齊」。見「良莠不齊」條。01.《清史稿．卷三七六．吳傑列傳》：「馭夷長策，當先剿後撫。未剿遽撫，良莠不分。」
拭目以俟	俟，等待。「拭目以俟」即「拭目以待」。見「拭目以待」條。01.宋．楊萬里〈答普州李知府書〉：「伏惟財幸筆橐之除，方且拭目以俟。」02.明．徐光啟〈焦氏澹園續集序〉︰「主上眷惟求舊，方且虛席泰階，居先生于玉鉉大斗之間，燮和翼贊，殆將進而為伊傅周召之文，是則見龍在田，天下文明者乎？余小子敬拭目以俟之。」
繞梁之音	美妙而有餘韻的音樂。見「餘音繞梁」條。01.晉．陸機〈演連珠〉五○首之一○：「繞梁之音，實縈絃所思。」
咫尺萬里	猶「咫尺天涯」。見「咫尺天涯」條。01.唐．林蘊〈上安邑李相公安邊書〉：「當昔漢室，彼為內府，囊賝走馬，曾不虛日，咫尺萬里，煙塵不動。」02.宋．張君房《雲笈七籤．卷一一七．北都潛丘臺崔相國應夢修觀驗》：「良久，復聆天樂笳簫之音，尋訪之意彌切，但四隅陡絕，咫尺萬里。」
流血漂鹵	猶「血流漂杵」。見「血流漂杵」條。01.《戰國策．中山策》：「韓、魏相率，興兵甚眾，君所將之不能半之，而與戰之於伊闕，大破二國之軍，流血漂鹵，斬首二十四萬。」02.《史記．卷六．秦始皇本紀》：「秦有餘力而制其敝，追亡逐北，伏尸百萬，流血漂鹵。」
漸至佳境	即「漸入佳境」。見「漸入佳境」條。01.南朝宋．劉義慶《世說新語．排調》：「顧長康啖甘蔗，先食尾。問所以，云：『漸至佳境。』」（源）
藍田出玉	猶「藍田生玉」。見「藍田生玉」條。01.《宋書．卷八五．謝莊列傳》：「謝莊字希逸，陳郡陽夏人，太常弘微子也。年七歲，能屬文，通論語。及長，韶令美容儀，太袚鬕而異之，謂尚書僕射殷景仁、領軍將軍劉湛曰：『藍田出玉，豈虛也哉。』」
暴躁如雷	猶「暴跳如雷」。見「暴跳如雷」條。01.《醒世恆言．卷八．喬太守亂點鴛鴦譜》：「劉媽媽因玉郎走了，又不捨得女兒，難為一肚子氣，正沒發脫，見老公倒前倒後，數說埋怨，急得暴躁如雷。」02.《儒林外史》第六回：「兩隻船上船家都慌了，一齊道：『……若是送到縣裡，他那裡耽得住？如今只是求嚴老爺開恩，高抬貴手，恕過他罷。』嚴貢生越發惱得暴躁如雷。」
七張八嘴	猶「七嘴八舌」。見「七嘴八舌」條。01.《二十年目睹之怪狀》第八六回：「眾醫生在那裡七張八嘴，有說用葠的，有說用桂的。」02.《石點頭．卷四．瞿鳳奴情愆死蓋》：「鳳奴擇人另配，七張八嘴，亂了數日，方才停妥。」
披肝露膽	猶「披肝瀝膽」。見「披肝瀝膽」條。01.明．邵景詹《覓燈因話．卷二．丁縣丞傳》：「晝則聯席，夜則聯榻，各罄所懷，披肝露膽，每恨相見之晚也。」
冷言諷語	猶「冷言冷語」。見「冷言冷語」條。01.《醒世姻緣傳》第一五回：「當不得外面一個講王道的西賓邢皋門冷言諷語，說什麼病鳥依人。」
指鹿道馬	即「指鹿為馬」。見「指鹿為馬」條。01.元．喬吉《兩世姻緣》第三折：「他那裡拔樹尋根……便似你指鹿道馬。」
飛黃騰踏	像飛黃一樣地飛馳。參見「飛黃騰達」條。01.唐．韓愈〈符讀書城南〉詩：「飛黃騰踏去，不能顧蟾蜍。」（源）02.宋．葉路鈐〈水調歌頭．天啟黃旗運〉詞：「名高黃榜，飛黃騰踏入鴛行。」
狽因狼突	藉惡勢力而存活。見「狼狽為奸」條。01.《醒世姻緣傳》第一三回：「伍聖道、邵強仁鼠共貓眠，擒縱惟憑指使；狽因狼突，金錢息任箕攢。」
殫精極慮	即「殫精竭慮」。見「殫精竭慮」條。01.明．張居正〈翰林院讀書說〉：「訓誥典謨，聖人豈殫精極慮，作意而為之者哉！」02.清．王念孫〈廣雅疏證序〉：「殫精極慮，十年於茲。」
塗不拾遺	即「路不拾遺」。見「路不拾遺」條。01.《史記．卷四七．孔子世家》：「與聞國政三月，粥羔豚者弗飾賈；男女行者別於塗；塗不拾遺；四方之客至乎邑者不求有司，皆予之以歸。」
戮力壹心	猶「戮力同心」。見「戮力同心」條。01.《左傳．昭公二十五年》：「臧昭伯率從者將盟，載書曰：『戮力壹心，好惡同之。』」
方以類聚	即「物以類聚」。見「物以類聚」條。01.《易經．繫辭上》：「方以類聚，物以群分，吉凶生矣。」（源）02.《三俠五義》第一○七回：「北俠與丁二爺聽畢，不由的俱各落淚歎息。所謂『方以類聚，物以群分』。原是聲應氣求的弟兄，焉有不傷心的道理。」
腹便便	即「大腹便便」。見「大腹便便」條。01.《藝文類聚．卷二五．人部九．嘲戲》引晉．司馬彪《續漢書》：「邊為姓，先為字。腹便便，五經笥。」（源）
打草蛇驚	猶「打草驚蛇」。見「打草驚蛇」條。01.宋．鄭文寶《南唐近事》卷二：「王魯為當塗宰，頗以資產為務。會部民連狀訴主簿貪賄於縣尹，魯乃判曰：『汝雖打草，吾已虵（蛇）驚。』」（源）02.宋．朱熹〈答黃仁卿書〉：「所示劄子，語簡意足，李倉必須留意；但恐見黃商伯狼狽後，打草蛇驚，亦不敢放手做事耳。」 03.《景德傳燈錄．卷一三．汝州首山省念禪師》：「問：『四眾圍繞，師說何法？』師曰：『打草蛇驚。』」
絕韋編	猶「韋編三絕」。見「韋編三絕」條。01.明．朱權《卓文君》第一折：「似這般十年窗下絕韋編，有一日九重殿上聯仙仗。」
為法自斃	猶「作法自斃」。見「作法自斃」條。01.《太平廣記．卷一二一．魚思咺》引《朝野僉載》：「上欲造匭，……咺應制為之……。無何有人投匭言咺。云：『……（咺）為敬業作刀輪以衝陣，殺傷官軍甚眾。』推問具承，誅之。為法自斃，乃至於此。」
五行並下	猶「一目十行」。見「一目十行」條。01.《後漢書．卷四八．楊李翟應霍爰徐列傳．應奉》：「奉少聰明，自為童兒及長，凡所經履，莫不暗記。讀書五行並下。」
玉石同碎	猶「玉石俱焚」。見「玉石俱焚」條。01.晉．袁宏〈三國名臣序贊〉：「滄海橫流，玉石同碎。」
廣益集思	即「集思廣益」。見「集思廣益」條。01.明．金聲〈上徐元扈相公書〉：「材篤器使，廣益集思。如聲孤陋，幸依末光。」
亭亭而立	猶「亭亭玉立」。見「亭亭玉立」條。01.《北齊書．卷三三．徐之才列傳》：「武成酒色過度，怳惚不恆，曾病發，自云初見空中有五色物，稍近，變成一美婦人，去地數丈，亭亭而立。」
廣眾之庭	猶「大庭廣眾」。見「大庭廣眾」條。01.清．顧炎武〈又與王山史書〉︰「一二當事亦有樂助者，期以必待興工之日，廣眾之庭，方敢接受。」
痛減思痛	即「痛定思痛」。見「痛定思痛」條。01.明．朱國禎《湧幢小品．卷一四．均田》：「不一月竣事，上下帖然。未知余之罪得小解否？痛減思痛，毛髮尚自凜凜，恐老死無能自明。」
疾入膏肓	猶「病入膏肓」。見「病入膏肓」條。01.《明史．卷二○九．沈鍊列傳》：「今大學士嵩，貪婪之性疾入膏肓，愚鄙之心頑於鐵石。」
靡靡之聲	即「靡靡之音」。見「靡靡之音」條。01.晉．皇甫謐《帝王世紀》：「大進侏儒倡優，為爛漫之樂，設奇偉之戲，縱靡靡之聲。」02.《南史．卷二．宋前廢帝本紀》：「事畢，將奏靡靡之聲，壽寂之懷刀直入，姜產之為副，諸姬迸逸，廢帝亦走。」
靡微不周	猶「無微不至」。見「無微不至」條。01.宋．魏了翁〈辭免督視軍馬乞以參贊軍事從丞相行奏劄〉：「臣竊念主憂臣辱，義不得辭，跼蹐受命，退而差辟官吏，條列事目，調遣將士，凡所以為速發之計者，靡微不周。」（源）
疾聲遽色	言語急迫，神色慌張。見「疾言厲色」條。01.宋．葉適〈陳叔向墓誌銘〉：「兄弟相愛友，門內諧樂，無疾聲遽色。」
應手從心	猶「得心應手」。見「得心應手」條。01.晉．傅玄〈筆賦〉：「染芳松之淳煙，寫文象於紈素；動應手而從心，煥光流而星布。」
廬山之真	即「廬山真面目」。見「廬山真面目」條。01.清．杲清曜〈青本刻聊齋志異例言〉：「茲刻悉仍原稿，庶幾獨得廬山之真。」
廣大神通	猶「神通廣大」。見「神通廣大」條。01.《黃繡球》第五回：「公門中人，三頭六臂，廣大神通，真令人無從捉摸！」02.清．葉矯然《龍性堂詩話續集》：「唐人排律，初推沈、宋，……至杜公廣大神通，壓古軼今，岑、高諸人無敢望其項背。」
應風披靡	即「望風披靡」。見「望風披靡」條。01.《史記．卷一一七．司馬相如列傳》引漢．司馬相如〈上林賦〉：「蔣芧青薠，布濩閎澤，延曼太原，麗靡廣衍，應風披靡，吐芳揚烈。」（源）
廣思集益	即「集思廣益」。見「集思廣益」條。01.宋．魏了翁〈璧津樓記〉：「積蠹弗蠲，歲比不登，吾雖廣思集益，損其敝之十八。」
應答如注	猶「應對如流」。見「應對如流」條。01.明．焦竑《玉堂叢語．卷一．文學》：「（王洪）文學之臣，苦於考索，求者闐門，而先生應答如注。」
靡靡之響	即「靡靡之音」。見「靡靡之音」條。01.明．沈寵綏《度曲須知．絃索題評》：「古曲聲情，雄勁悲激，今則盡是靡靡之響。」
亭亭獨立	猶「亭亭玉立」。見「亭亭玉立」條。01.唐．劉長卿〈戲贈干越尼子歌〉：「至今猶自顏如花，亭亭獨立青蓮下。」
立馬萬言	「立馬」猶「倚馬」。「立馬萬言」猶「倚馬可待」。見「倚馬可待」條。01.宋．王十朋〈上太守李端明書〉：「唐翰林應長庚之夢，世號謫仙人。立馬萬言，而文章為天下之法，孰謂其非天人耶？」
方昌未艾	即「方興未艾」。見「方興未艾」條。01.宋．張栻〈答劉炳先昆仲書〉：「聞昆仲相處益雍怡，諸郎亦皆孝謹，知公家門戶，方昌未艾耳。」
病風喪心	猶「喪心病狂」。見「喪心病狂」條。01.宋．蘇洵〈諫論下〉：「人之情非病風喪心，未有避賞而就刑者，何苦而不諫哉？」
帝虎魯魚	猶「魯魚亥豕」。見「魯魚亥豕」條。01.宋．朱翌〈題校書圖〉：「螢窗孤坐志不分，帝虎魯魚相可否？」
充棟折軸	文籍眾多，充滿房屋，壓斷車軸。義同「汗牛充棟」。見「汗牛充棟」條。01.清．平步青《霞外攟屑．卷七上．汪荔牆文》：「夫古今文章，充棟折軸，即擇其近道之作，亦不勝僂指。」
方剛血氣	即「血氣方剛」。見「血氣方剛」條。01.《綴白裘．第九集．卷二．釵釧記．會審》：「你方剛血氣，好鬥勇，為人戒之。」02.清．朱素臣《十五貫》上卷：「少覓蠅頭利，聊資甕底春，我方剛血氣不憚多勞頓。」
慾令智昏	慾念太雜，令人神智昏亂，做出不合常理的事。見「利令智昏」條。01.《紅樓夢》第六四回：「自古道：『慾令智昏。』賈璉只顧貪圖二姐美色，聽了賈蓉一篇話，遂為計出萬全，將現今身上有服，並停妻再娶，嚴父妒妻，種種不妥之處皆置之度外了。」
亮節高風	即「高風亮節」。見「高風亮節」條。01.清．梁章鉅《楹聯叢話．卷八．格言》：「吾鄉林青圃先生，歷官中外，亮節高風，一宅數畝外，囊橐無餘。」
應病與藥	即「對症下藥」。見「對症下藥」條。01.明．葉盛《水東日記．卷九．酌定白鹿書院記》：「蓋此刻之金石，傳之無窮，不比一時之間，為一兩人東說西話，隨宜說法，應病與藥也。」
應變隨機	即「隨機應變」。見「隨機應變」條。01.明．許自昌《水滸記》第一○齣：「小生吳用，多謀足智，應變隨機。」02.明．朱權《荊釵記》第四○齣：「吾兄就應變隨機，將姪女送到王門去。」
高風大節	猶「高風亮節」。見「高風亮節」條。01.明．何良俊《四友齋叢說．卷九．史五》：「羅一峰之高風大節，昭如日星。」02.明．袁宏道〈答郭美命書〉：「翁臺高風大節，人望所歸。」
高懸明鏡	即「明鏡高懸」。見「明鏡高懸」條。01.元．李行道《灰闌記》第四折：「你道他是高懸明鏡南衙內，&c04210.jpg;的個訴根由直把冤情洗。」
離鄉別井	「別井」義同「背井」。「離鄉別井」即「離鄉背井」。見「離鄉背井」條。01.明．邵璨《香囊記》第二七齣：「笳鼓喧轟，四方多戰爭；離鄉別井，怎當心戰兢。」
廓落晨星	猶「寥若晨星」。見「寥若晨星」條。01.晉．張華〈情詩〉五首之二：「幽人守靜夜，迴身入空帷。束帶俟將朝，廓落晨星稀。」（源）
意回心轉	猶「回心轉意」。見「回心轉意」條。01.《綴白裘．初集．卷一．牧羊記．望鄉》：「我拚一命喪黃泉，誓無他怨，早難道意回心轉！為君守節，為親保全，何曾為一身上苟延？」
意同情合	猶「情投意合」。見「情投意合」條。01.《後漢書．卷二八上．桓譚馮衍列傳．馮衍》李賢注引漢．馮衍〈與陰就書〉：「衍聞神龍驤首，幽雲景蒸，明聖修德，志士思名。是以意同情合，聲比（則）﹝相﹞應也。」（源）
度外置之	即「置之度外」。見「置之度外」條。01.明．盧象昇〈寄外舅王帶溪先生書〉九首之五：「夫功名身命，已度外置之，但兩親在堂，何以相慰？」
摩肩繼踵	肩併肩，腳接腳。形容人數眾多且不斷產生。見「摩肩接踵」條。01.唐．皇甫湜〈編年紀傳論〉：「其間賢人摩肩，史臣繼踵，推今古之得失，論述作之利病。……」
方盛未艾	即「方興未艾」。見「方興未艾」條。01.宋．真德秀〈龍山書院記〉：「自是舉于有司者，前後相望，人物彬彬，方盛未艾。」
康莊之衢	猶「康莊大道」。見「康莊大道」條。01.《史記．卷七四．孟子荀卿列傳》：「於是齊王嘉之，自如淳于髡以下，皆命曰列大夫，為開第康莊之衢，高門大屋，尊寵之。」（源）
康莊大逵	猶「康莊大道」。見「康莊大道」條。01.宋．范成大〈釣池口阻風迷失港道〉詩：「康莊大逵世不乏，乃獨蹇產濤波中。」
文人人殊	各人的文采不同。見「言人人殊」條。01.明．王禕〈文訓〉：「雖其文人人殊，而其於道未始不有明焉，譬猶水火相滅亦以相生，和敬相反亦以相成。」
忘年之契	猶「忘年之交」。見「忘年之交」條。01.唐．顏真卿〈尚書刑部侍郎贈尚書右僕射孫逖文公集序〉：「（孫逖）十五時，相國齊公崔日用試〈土火爐賦〉，公雅思遒麗，援翰立成，齊公駭之，約以忘年之契。」02.清．王士禛《池北偶談．卷一三．談藝三．李侍郎》：「六合李侍郎，字退菴，順治戊戌、己亥間，予在京師，辱忘年之契，論詩文一字不輕放過。」
衣帶一江	猶「一衣帶水」。見「一衣帶水」條。01.宋．文及翁〈賀新郎．一勺西湖水〉詞：「余生自負澄清志。更有誰、磻溪未遇，傅巖未起。國事如今誰倚仗，衣帶一江而已。」
衣帶水	猶「一衣帶水」。見「一衣帶水」條。01.唐．唐彥謙〈漢代〉詩：「荇密妨垂釣，荷攲欲度橋。不因衣帶水，誰覺路迢迢。」
言簡意足	猶「言簡意賅」。見「言簡意賅」條。01.明．徐光啟《徐光啟集．卷二．序跋．適志齋稿序》：「大都言簡意足，能以真率少許勝人多多許。」
忘形得意	猶「得意忘形」。見「得意忘形」（二）。01.宋．歐陽修〈盤車圖〉詩：「古畫畫意不畫形，梅詩詠物無隱情。忘形得意知者寡，不若見詩如見畫。」
忘筌得魚	即「得魚忘筌」。見「得魚忘筌」條。01.晉．何劭〈贈張華〉詩：「舉爵茂陰下，攜手共躊躇。奚用遺形骸？忘筌在得魚。」02.明．王玉峰《焚香記》第二六齣：「他是好生的忘筌得魚，明犯著再娶停妻。」
齊量等觀	猶「等量齊觀」。見「等量齊觀」條。01.《聊齋志異．卷九．王子安》何守奇評：「子安弋獲心切，故狐戲之。然當其心滿意足時，何知為戲？齊量等觀，則詞林諸公，安非出於造物之戲也？世事種種色色，不必認真。」
言笑不苟	猶「不苟言笑」。見「不苟言笑」條。01.《初刻拍案驚奇》卷六：「美名一時無比，卻又資性貞淑，言笑不苟，極是一個有正經的婦人。」02.《二刻拍案驚奇》卷二：「妙觀亦以師道自尊，妝模做樣，儘自矜持，言笑不苟。」
康莊之路	猶「康莊大道」。見「康莊大道」條。01.宋．張舜民《畫墁集．卷一．君馬黃》：「聽和鸞之聲，遵康莊之路，馬不駭輿，君子安處。」
忘年交好	猶「忘年之交」。見「忘年之交」條。01.《梁書．卷四九．文學列傳上．何遜》：「遜八歲能賦詩，弱冠州舉秀才，南鄉范雲見其對策，大相稱賞，因結忘年交好。」
庋之高閣	猶「束之高閣」。見「束之高閣」條。01.清．錢謙益〈參籌祕書序〉：「陰陽孤虛之書，皆將庋之高閣矣。」
言簡意深	言詞簡潔意思深遠。見「言簡意賅」條。01.清．趙翼《甌北詩話．卷六．陸放翁詩》：「抑知所謂鍊者，不在乎奇險詰曲、驚人耳目，而在乎言簡意深，一語勝人千百。」
刻骨銘肌	猶「刻骨銘心」。見「刻骨銘心」條。01.唐．李德裕〈代李丕與郭誼書〉：「尋蒙見哀羈旅，申以婚姻，託繫援於高門，實光榮於鄙族，每懷恩遇，刻骨銘肌。」
交融水乳	即「水乳交融」。見「水乳交融」條。01.《冷眼觀》第一六回：「你說的那番話雖然近理，究竟也未免太過慮了，莫說我們現在的君臣是一德一心交融水乳的時候，就是尋常辦事，亦不至於如此。」
就輕避重	即「避重就輕」。見「避重就輕」條。01.唐．陸贄〈論請不替鳳翔節度使李楚琳狀〉：「其趣理也，必取重而捨輕；其遠疑也，則就輕而避重。苟非聖哲，難盡精微。」
望之卻步	猶「望而卻步」。見「望而卻步」條。01.明．徐光啟《徐光啟集．卷一○．書牘一．復周無逸學憲書》：「黨與二字，耗盡士大夫精神才力，而於國計民生，毫無干涉。且以裕蠱所為，思之痛心，望之卻步。」（源）
言淚俱下	猶「聲淚俱下」。見「聲淚俱下」條。01.《南齊書．卷三五．蕭鏘列傳》：「鏘每往，高宗常屣履至車迎鏘。語及家國，言淚俱下，鏘以此推信之。」
率由舊典	猶「率由舊章」。見「率由舊章」條。01.《晉書．卷二一．禮志下》：「渾元資始，肇經人倫，爰及夫婦，以奉天地宗廟社稷。謀于公卿，咸以宜率由舊典。」
望洋而嘆	形容其偉大宏深。猶「望洋興嘆」之本義，見「望洋興嘆」條。01.宋．陳善〈秦少游文自成一家〉：「所進論策辭句，頗若刻露，不甚含蓄，若此坡，不覺望洋而嘆也。」
望洋之嘆	形容其偉大宏深。猶「望洋興嘆」之本義，見「望洋興嘆」條。01.宋．王柏〈六義字原序〉：「暇日猶得游神於偏旁字畫之微，每有望洋之嘆。」
言何容易	猶「談何容易」。見「談何容易」條。01.《藝文類聚．卷七二．食物部．酒》引三國魏．曹植〈酒賦〉：「噫，夫言何容易！此乃淫荒之源，非作者之事。」
望眼穿	猶「望眼欲穿」。見「望眼欲穿」條。01.金．元好問〈壬辰十二月車駕東狩後即事〉詩五首之三：「西南三月音書絕，落日孤雲望眼穿。」
望眼應穿	猶「望眼欲穿」。見「望眼欲穿」條。01.唐．張鷟《游仙窟》：「積愁腸已斷，懸望眼應穿；今宵莫閉戶，夢裡向渠邊。」
言無倫次	即「語無倫次」。見「語無倫次」條。01.宋．無名氏《道山清話》：「有村學究教授二三小兒，閑與之語，言皆無倫次。」02.明．李開先〈亡妻張宜人散傳〉：「宜人懿行可述者多，恐其久而逸也，更為散傳，言無倫次，事無統紀，隨心信筆，漫然書之。」
